episode,Multi-Agent_GCN_DT_50_agents_reward,Multi-Agent_GCN_DT_50_agents_path_length,Multi-Agent_GCN_DT_50_agents_jammed_steps,Multi-Agent_GCN_DT_50_agents_latency,GCN_Baseline_4_features_reward,GCN_Baseline_4_features_path_length,GCN_Baseline_4_features_jammed_steps,GCN_Baseline_4_features_latency
1,-53.50027840747048,112,23,26.265017943257153,-48.9039707292546,121,0,28.49298252806431
2,-81.10146443300245,160,38,37.59277249054277,-1.8598440277335813,12,3,2.769086340442037
3,-12.87228831317671,26,11,6.627923712033186,-6.485419291018337,20,1,4.720217188565028
4,-5.6121148876034,21,0,5.133810723565661,-71.54473259679581,139,39,33.928429013311195
5,-4.1308395771621695,18,0,4.9016241136628125,-6.867708530159307,22,0,5.56854107286902
6,-6.654970167055387,22,2,5.074675365048288,-50.033651945797835,103,18,24.7956038646354
7,-2.701033968793788,13,0,3.122306337241444,-3.1412496130563676,8,2,1.87767508563683
8,-31.91514660855498,66,11,16.228977193910897,-98.35993626454247,215,24,52.55913670349122
9,-25.247231711287736,48,12,11.489320795008435,1.7586425503951784,3,0,0.7092100341790726
10,0.9981577002263873,1,0,0.2551077911398222,-4.240254524327644,15,0,3.5402350383425296
11,-20.217950448364054,60,0,14.75681214167222,-23.916306866959275,61,4,15.021839251847124
12,-28.61926893018266,79,0,18.37022153459152,1.4016274025210536,3,0,0.6873470329415693
13,-28.791235381709182,61,14,14.028473657865664,1.31,1,0,0.24598253645791338
14,-137.37242162092338,349,0,86.62975848491256,0.24196813672916317,6,1,1.4556326722163588
15,-61.82212887264944,118,40,27.597871651579304,-31.071357119055495,76,0,18.13237440738339
16,-4.0709202851305175,18,0,4.490163499068254,-4.639751380314627,11,4,2.6964276233460533
17,-8.772834029035455,26,0,6.176411370955776,0.3115381833962323,5,0,1.3300058025467465
18,-56.36392349959418,119,21,28.147901209181,-16.992578928801525,53,0,12.443010283204554
19,-2.999681527615363,10,4,2.2292380385027926,-10.756109256011644,29,4,6.650141324037487
20,-8.865794671362845,20,3,4.757810505594854,-14.636112502330379,25,13,5.989406112021961
21,1.2691312059036217,1,0,0.2235375017913485,-0.07373099285673734,7,0,1.7595408348711168
22,-17.992909085857043,51,0,12.63746974049947,-69.3446993848868,133,37,31.204773730270748
23,-11.894851492085962,25,9,6.169172373068874,-23.206921985448037,65,0,14.89445985750227
24,-2.175996998050846,11,1,2.611173526739837,1.31,1,0,0.25399133258678935
25,-36.32427810253517,66,24,15.385912731480904,-15.284686589194743,42,2,9.682926962567652
26,-81.2021639451673,151,35,35.70855679512403,-27.053622466772367,57,16,12.869123767763114
27,-67.59102558502148,150,21,36.655371116420454,1.6494669761771017,4,0,0.9586400523363903
28,-98.18374707695382,214,28,50.96060402368941,-0.6843726336647582,5,3,1.272251389701422
29,0.27447600061210575,4,2,1.0165674752015894,1.2364171659908552,2,0,0.46834719176766215
30,-0.27178633464525215,8,0,1.7072346284361253,1.2176089340170644,4,1,0.9947650245215548
31,-109.12637462364721,220,48,50.990454644871605,-49.51140755465938,135,0,32.279004562059754
32,-26.98597255222119,76,0,17.293008197914038,-32.73595420631674,69,13,17.27332077288396
33,-16.994121366016465,50,0,12.106727710513915,-30.628822768163214,87,0,21.998759619389908
34,-10.34133786959753,31,3,7.307547986518929,-18.07893924014544,53,0,12.336358696856557
35,-35.28429828825317,77,13,18.410889705784168,1.2850348552571427,3,0,0.7225558672199329
36,-78.17046153585761,132,51,32.165916035125285,1.01,1,0,0.2540575541124703
37,-66.15855724665629,176,0,43.08564266726344,-75.83599438420245,196,0,46.42234154799724
