episode,episode_reward,path_length,jammed_steps,total_latency,avg_bandwidth,avg_pdr
1,-80.57297073909116,156,40,36.601724072539994,1.0,1.0
2,1.4349334663376077,3,0,0.6938973115955418,1.0,1.0
3,-18.420395518561044,55,0,12.953156230517921,1.0,1.0
4,-196.96236067535008,477,0,115.77194418267997,1.0,1.0
5,-57.24835869972095,116,21,27.0279916994022,1.0,1.0
6,-44.01360283168675,95,15,22.268075578556772,1.0,1.0
7,-68.8017797387491,142,30,33.58048185304293,1.0,1.0
8,-8.423395718356412,32,1,7.131449418645397,1.0,1.0
9,-46.48320633308531,117,0,27.679171962535143,1.0,1.0
10,-40.58576053849607,101,0,24.155461413127203,1.0,1.0
