episode,Multi-Agent_GCN_DT_50_agents_reward,Multi-Agent_GCN_DT_50_agents_path_length,Multi-Agent_GCN_DT_50_agents_jammed_steps,Multi-Agent_GCN_DT_50_agents_latency,GCN_Baseline_4_features_reward,GCN_Baseline_4_features_path_length,GCN_Baseline_4_features_jammed_steps,GCN_Baseline_4_features_latency
1,-29.52123144855025,63,12,14.495208635543225,-15.589053720458201,35,6,8.665009284475873
2,-24.0503228902774,53,11,12.905527223752113,-34.68167756769946,89,0,22.216019287084073
3,-4.932348899692633,20,0,4.936852891559312,-5.510616515944976,10,7,2.279601318995532
4,-6.236682305557332,20,0,5.068594990364364,-11.048789233476993,29,3,6.818884073565379
5,-44.74980047337721,89,21,21.735786932292097,-1.1805312338838292,7,0,1.8149417310541367
6,-23.10458959948051,59,0,14.420010450404355,-62.947294821534435,139,23,32.50980894532876
7,-1.6868669611420324,11,0,2.618386509281602,-34.55535889030978,70,19,16.625520115163628
8,-37.62822950852549,103,0,26.925808203055265,-27.55273535178251,78,0,19.050308147081573
9,-41.510995462381615,80,21,18.807209181277486,-23.448521578650983,55,3,12.613353650956494
10,-93.75810199459639,163,60,39.78598196825903,0.49643455275203496,4,2,1.0038805485417437
11,-43.48241545857856,100,0,23.980089022952313,-13.110283006036829,44,0,10.485547738280923
12,-25.466816882850903,47,16,11.322298363913932,-11.913068351254399,40,0,9.528558420256909
13,-75.53868761508264,152,43,36.829585361231594,-67.89879250947116,163,12,37.971334282491746
14,-0.8532973833111102,8,2,1.8721026659396545,-13.5158545708723,40,0,9.43964753230805
15,-85.84830720525903,169,33,39.50058434898743,-73.17284017275935,159,25,37.50740689201849
16,-34.46668266905249,81,0,18.958937302822285,-11.679082435769786,32,3,7.5497908423597755
17,-42.682529331485874,114,0,28.054328471902274,1.751245501239082,3,0,0.6918598600297199
18,-103.95752932959137,202,46,49.48948500326182,-14.75589075084462,36,5,8.231474367708588
19,-24.168553484063708,57,11,13.92085265763764,-62.947350194684155,167,0,41.63124247369832
20,1.01,1,0,0.25765518869424775,-57.67976677265858,106,42,26.164129985346808
21,-26.450975985413102,71,0,17.267866122595326,-7.411160556678096,16,4,3.8612360439782125
22,-89.00322421604953,219,0,51.937742687998714,-75.34665267107613,171,14,40.65394495156003
23,-49.924232102981904,131,0,32.169393715982224,-15.680784913667837,41,0,10.367529933610069
24,-27.12443110286505,75,0,17.600631064075195,-97.87203849793714,236,23,59.20439097951376
25,-10.248570070843847,29,0,7.373611108934825,0.3105286566794493,5,0,1.2612877957126485
26,-89.01831853304758,229,0,54.32153310347465,-6.924665899603719,17,3,3.951346449778691
27,-63.61770452113905,125,29,29.31520994112714,1.31,1,0,0.2064270752853403
28,0.034834116240272606,5,1,1.2587103776188395,1.2527639250763292,2,0,0.4855114911894688
29,-6.031224000209973,18,5,4.172692178435063,1.4995982791030444,2,0,0.46619201413586453
30,-142.69325529819537,347,0,84.10388416125164,-194.40316519374815,353,109,87.1753766636691
