episode,episode_reward,path_length,jammed_steps,total_latency,avg_bandwidth,avg_pdr
1,0.1576188739155484,3,0,0.6967688053665209,1.0,1.0
2,-7.874228092567089,23,0,5.558077527703227,1.0,1.0
3,-15.708410949357573,39,0,9.03606292257625,1.0,1.0
4,-37.94530602671632,82,12,19.818517904772662,1.0,1.0
5,-127.21061367669033,344,0,79.47646788970826,1.0,1.0
6,-14.967299407192373,33,8,8.067945483057969,1.0,1.0
7,-17.215009651947284,47,0,11.506922538194843,1.0,1.0
8,-60.08896007373929,162,0,40.19962977122301,1.0,1.0
9,-88.70736300968184,173,44,43.16748575023029,1.0,1.0
10,-54.97349362627341,99,35,23.48667005028922,1.0,1.0
11,-146.67078005820505,380,0,95.8999649722264,1.0,1.0
12,1.2574697805731427,2,0,0.47285137233081487,1.0,1.0
13,1.7361087005806346,3,0,0.6672784422499665,1.0,1.0
14,-1.0684704045044686,5,3,1.1958830613404405,1.0,1.0
15,-1.2598648005052218,9,0,2.087475825579535,1.0,1.0
16,-118.56407840232546,299,0,72.51980696858189,1.0,1.0
17,-15.38866161422985,51,0,11.100998513536256,1.0,1.0
18,-11.231643790367634,31,0,7.768844413814689,1.0,1.0
19,-116.94556304753286,300,0,70.68948231277439,1.0,1.0
20,-24.546083081815173,56,4,13.117980668547018,1.0,1.0
21,-55.741754642120995,103,41,23.534030713436554,1.0,1.0
22,-76.51199059825146,191,0,43.69928421216441,1.0,1.0
23,1.5142958543786718,3,0,0.755564496577833,1.0,1.0
24,-86.51456644729225,232,0,54.81529744147983,1.0,1.0
25,-189.56982369057982,483,0,112.50489542432265,1.0,1.0
26,1.2010014367211015,1,0,0.22534385641358412,1.0,1.0
27,-32.51035925065147,81,0,18.5143073136638,1.0,1.0
28,-10.696702263752265,32,0,7.270685720938342,1.0,1.0
29,1.5706449339798785,6,0,1.4980665148710262,1.0,1.0
30,-78.39883951589208,120,64,26.6182577035026,1.0,1.0
31,-16.821324690329487,32,14,7.02513868339546,1.0,1.0
32,-126.62001769349652,330,13,86.57752222453594,1.0,1.0
33,-31.55624009806652,39,38,8.666013157422098,1.0,1.0
34,-43.5259083706362,56,53,11.424105879261534,1.0,1.0
35,0.744595880211685,2,1,0.48200847617471076,1.0,1.0
36,-184.8451219426134,500,0,113.70969164864704,1.0,1.0
37,-21.699310871497893,58,0,12.821726276857568,1.0,1.0
38,-9.676663790475375,24,7,5.736880549887915,1.0,1.0
39,-80.166813640234,156,31,34.79944791507443,1.0,1.0
40,-59.82347518743839,155,0,36.76125457579473,1.0,1.0
41,-5.029248799114088,18,0,4.216753387424836,1.0,1.0
42,0.7926859003103937,1,0,0.2105911311994522,1.0,1.0
43,-281.4941364987237,469,146,114.13560197827964,1.0,1.0
44,-191.46100252340997,500,0,114.23111430923905,1.0,1.0
45,-10.99852201427781,23,9,4.922663153868641,1.0,1.0
46,-22.265156658576476,66,0,17.42788754720463,1.0,1.0
47,-20.13981732035154,47,0,11.686289405153616,1.0,1.0
48,-55.67513418522025,141,1,33.011680637621666,1.0,1.0
49,1.31,1,0,0.25027474133725675,1.0,1.0
50,0.4278682348768399,3,2,0.7825216702563671,1.0,1.0
51,1.3619431913494062,2,0,0.46703736311153393,1.0,1.0
52,1.4016833898232133,6,1,1.4538177818701872,1.0,1.0
53,-190.83893581383157,500,0,124.88300906808018,1.0,1.0
54,-137.71316254228765,316,36,73.08930190272804,1.0,1.0
55,-196.77007611225608,500,0,114.59267709047393,1.0,1.0
56,1.5273531209291247,4,0,1.0129512286421538,1.0,1.0
57,-56.11763475932484,72,62,16.32916167889881,1.0,1.0
58,-22.065364528552767,63,0,14.443913880610776,1.0,1.0
59,1.2522993202328516,2,0,0.47133773427573655,1.0,1.0
60,-17.072453230450073,46,0,11.208379001591567,1.0,1.0
61,1.4872667295743336,2,0,0.47977360910815026,1.0,1.0
62,-196.55364408994197,500,0,107.47841454339375,1.0,1.0
63,1.4012308156791042,5,1,1.2043825808603967,1.0,1.0
64,1.01,1,0,0.24951818388979438,1.0,1.0
65,-21.119914336371163,40,18,9.319446484209578,1.0,1.0
66,1.76715207359161,3,0,0.6735756448349232,1.0,1.0
67,-30.934493289337414,90,0,21.28755059478865,1.0,1.0
68,-193.05959770893637,500,4,114.4035189080044,1.0,1.0
69,1.159826080912627,2,0,0.49451158336182766,1.0,1.0
70,0.24727546920722399,3,0,0.7022576563575613,1.0,1.0
71,-6.098592318587063,23,0,5.815464292378665,1.0,1.0
