step,loss,latency,bandwidth
1,0.22280378653927746,0.2505709732102415,1.0
2,0.15891031667123634,0.2330657811037206,1.0
3,0.13799198163388865,0.21313205105255867,1.0
4,0.127996982200744,0.2480799777949472,1.0
5,0.10943138783132081,0.2480799777949472,1.0
6,0.11733620332829414,0.2537099890715032,1.0
7,0.12336556625465069,0.24767055187698148,1.0
8,0.12100407185018583,0.24646595947329678,1.0
9,0.1199144688940708,0.24995521408627855,1.0
10,0.11165041905735143,0.26655784209037314,1.0
11,0.13688855898190597,0.26655784209037314,1.0
12,0.10248125341148581,0.24995521408627855,1.0
13,0.10966870459151176,0.23988124280471773,1.0
14,0.10328725949135192,0.21469946161798792,1.0
15,0.10986952342584635,0.21469946161798792,1.0
16,0.10075265345373352,0.24315918260139782,1.0
17,0.10084486642915755,0.2487471247195286,1.0
18,0.10816321067467823,0.23093872892550288,1.0
19,0.11269619786519172,0.22282628692348105,1.0
20,0.11603375204231708,0.23336451211543385,1.0
21,0.09338208820361495,0.23844882320019917,1.0
22,0.13402400938228975,0.23568552660493836,1.0
23,0.11957805408925486,0.23998065104063013,1.0
24,0.11479508766498328,0.24646595947329678,1.0
25,0.12571799447492626,0.23242104437334865,1.0
26,0.13680497425539184,0.23972695331979557,1.0
27,0.12360581715514518,0.23780295440991056,1.0
28,0.10797200766563203,0.22746824150811268,1.0
29,0.11399652735880679,0.23929815358909023,1.0
30,0.1058130251702397,0.23929815358909023,1.0
31,0.10118422747356548,0.22555400577654702,1.0
32,0.10567978671822262,0.22555400577654702,1.0
33,0.11158213770611283,0.24743775805058518,1.0
34,0.12648971459557992,0.27204363000058734,1.0
35,0.11713036320037751,0.2513302359950009,1.0
36,0.10336951499594936,0.250356659636188,1.0
37,0.09931524232691426,0.21610696160451975,1.0
38,0.0913783941234663,0.21610696160451975,1.0
39,0.09195794521632863,0.2497778788312505,1.0
40,0.0947629341412526,0.21289313182425426,1.0
41,0.10317727720141576,0.21400264423216905,1.0
42,0.09447994047198546,0.2116628817705019,1.0
43,0.0969763647153722,0.21676315798481102,1.0
44,0.10704403250706379,0.2462881109164176,1.0
45,0.09209826468449374,0.2528487630320686,1.0
46,0.10075843869117981,0.2528487630320686,1.0
47,0.09068396244174692,0.2462881109164176,1.0
48,0.08816421861005067,0.2203195852898125,1.0
49,0.09344272232656956,0.2203195852898125,1.0
50,0.07424039617868211,0.2203195852898125,1.0
51,0.07233662593016185,0.2203195852898125,1.0
52,0.07874894375303604,0.21676315798481102,1.0
53,0.08242735044475427,0.21676315798481102,1.0
54,0.08147732115406256,0.2402626279887226,1.0
55,0.09213566802229126,0.2402626279887226,1.0
56,0.07761735342971922,0.2203195852898125,1.0
57,0.08767270043717648,0.2203195852898125,1.0
58,0.07674579687584986,0.2462881109164176,1.0
59,0.0869341863045612,0.22993742297081196,1.0
60,0.08171884961112354,0.19640046798549393,1.0
61,0.06936239038032993,0.20494026925829556,1.0
62,0.08536814269429807,0.2423285738557945,1.0
63,0.08721996544686225,0.24436989789946129,1.0
64,0.0874988206228311,0.24436989789946129,1.0
65,0.08603693459695509,0.2397280340239159,1.0
66,0.06560718267702287,0.2564693227310632,1.0
67,0.0719757324038862,0.2564693227310632,1.0
68,0.06393503149020718,0.25015052312850106,1.0
69,0.08407554368370108,0.25015052312850106,1.0
70,0.07535606478513698,0.2564693227310632,1.0
71,0.0731815832862309,0.237112019162429,1.0
72,0.0649689872664659,0.23374653158871225,1.0
